\U0001F469\U0001F3FB\U0000200D\U0001F3A4	woman singer: light skin tone
\U0001F469\U0001F3FC\U0000200D\U0001F3A4	woman singer: medium-light skin tone
\U0001F469\U0001F3FD\U0000200D\U0001F3A4	woman singer: medium skin tone
\U0001F469\U0001F3FE\U0000200D\U0001F3A4	woman singer: medium-dark skin tone
\U0001F469\U0001F3FF\U0000200D\U0001F3A4	woman singer: dark skin tone
\U0001F468\U0000200D\U0001F3A8	man artist
\U0001F468\U0001F3FB\U0000200D\U0001F3A8	man artist: light skin tone
\U0001F468\U0001F3FC\U0000200D\U0001F3A8	man artist: medium-light skin tone
\U0001F468\U0001F3FD\U0000200D\U0001F3A8	man artist: medium skin tone
\U0001F468\U0001F3FE\U0000200D\U0001F3A8	man artist: medium-dark skin tone
\U0001F468\U0001F3FF\U0000200D\U0001F3A8	man artist: dark skin tone
\U0001F469\U0000200D\U0001F3A8	woman artist
\U0001F469\U0001F3FB\U0000200D\U0001F3A8	woman artist: light skin tone
\U0001F469\U0001F3FC\U0000200D\U0001F3A8	woman artist: medium-light skin tone
\U0001F469\U0001F3FD\U0000200D\U0001F3A8	woman artist: medium skin tone
\U0001F469\U0001F3FE\U0000200D\U0001F3A8	woman artist: medium-dark skin tone
\U0001F469\U0001F3FF\U0000200D\U0001F3A8	woman artist: dark skin tone
\U0001F468\U0000200D\U00002708\U0000FE0F	man pilot
\U0001F468\U0000200D\U00002708	man pilot
\U0001F468\U0001F3FB\U0000200D\U00002708\U0000FE0F	man pilot: light skin tone
\U0001F468\U0001F3FB\U0000200D\U00002708	man pilot: light skin tone
\U0001F468\U0001F3FC\U0000200D\U00002708\U0000FE0F	man pilot: medium-light skin tone
\U0001F468\U0001F3FC\U0000200D\U00002708	man pilot: medium-light skin tone
\U0001F468\U0001F3FD\U0000200D\U00002708\U0000FE0F	man pilot: medium skin tone
\U0001F468\U0001F3FD\U0000200D\U00002708	man pilot: medium skin tone
\U0001F468\U0001F3FE\U0000200D\U00002708\U0000FE0F	man pilot: medium-dark skin tone
\U0001F468\U0001F3FE\U0000200D\U00002708	man pilot: medium-dark skin tone
\U0001F468\U0001F3FF\U0000200D\U00002708\U0000FE0F	man pilot: dark skin tone
\U0001F468\U0001F3FF\U0000200D\U00002708	man pilot: dark skin tone
\U0001F469\U0000200D\U00002708\U0000FE0F	woman pilot
\U0001F469\U0000200D\U00002708	woman pilot
\U0001F469\U0001F3FB\U0000200D\U00002708\U0000FE0F	woman pilot: light skin tone
